# Element stress/strain results
# ElemID CenterX CenterY StrainX StrainY ShearXY StressX StressY ShearXY VonMises
81 0.075 0.225 2.64966e-05 -3.5358e-06 1.00071e-06 5.86981e+06 1.01843e+06 80826.5 5.43447e+06
82 0.125 0.225 2.76781e-05 -5.52873e-06 6.64599e-07 6.0045e+06 640315 53679.2 5.71208e+06
83 0.175 0.225 2.84524e-05 -7.01219e-06 3.05513e-07 6.08048e+06 351583 24676 5.91269e+06
84 0.225 0.225 2.88541e-05 -7.98715e-06 4.17666e-08 6.10568e+06 154402 3373.46 6.02996e+06
85 0.275 0.225 2.90073e-05 -8.58402e-06 -8.66096e-08 6.09971e+06 27270.7 -6995.39 6.08614e+06
86 0.325 0.225 2.9056e-05 -8.97507e-06 -9.14896e-08 6.08388e+06 -59602.3 -7389.54 6.11391e+06
87 0.375 0.225 2.91232e-05 -9.32073e-06 4.75883e-09 6.07545e+06 -134717 384.367 6.14392e+06
88 0.425 0.225 2.93159e-05 -9.7575e-06 1.99679e-07 6.08968e+06 -222171 16127.9 6.20381e+06
89 0.475 0.225 2.97417e-05 -1.0405e-05 5.12657e-07 6.14312e+06 -342117 41406.9 6.32154e+06
90 0.525 0.225 3.05247e-05 -1.13707e-05 9.82185e-07 6.25696e+06 -510755 79330.3 6.52879e+06
91 0.575 0.225 3.1815e-05 -1.27442e-05 1.66266e-06 6.45963e+06 -738399 134292 6.86265e+06
92 0.625 0.225 3.37937e-05 -1.45798e-05 2.62635e-06 6.78917e+06 -1.02501e+06 212129 7.36461e+06
93 0.675 0.225 3.66801e-05 -1.68702e-05 3.98436e-06 7.29671e+06 -1.35372e+06 321814 8.07855e+06
94 0.725 0.225 4.07678e-05 -1.95323e-05 5.96667e-06 8.05573e+06 -1.68506e+06 481923 9.05568e+06
95 0.775 0.225 4.6551e-05 -2.24325e-05 9.1316e-06 9.18952e+06 -1.95397e+06 737552 1.03852e+07
96 0.825 0.225 5.50829e-05 -2.55271e-05 1.5105e-05 1.09442e+07 -2.07744e+06 1.22002e+06 1.23001e+07
97 0.875 0.225 6.87588e-05 -2.86326e-05 2.81134e-05 1.38852e+07 -1.8473e+06 2.27069e+06 1.54055e+07
98 0.925 0.225 9.37825e-05 -3.24931e-05 7.29176e-05 1.93926e+07 -1.00576e+06 5.8895e+06 2.23751e+07
99 0.975 0.225 0.000124004 1.81791e-05 0.000192583 2.98748e+07 1.278e+07 1.55548e+07 3.74151e+07
100 0.025 0.275 2.50267e-05 -1.21149e-06 -1.18085e-06 5.69151e+06 1.45304e+06 -95376.4 5.12464e+06
